epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
119,0.188317,0.153986,0.265728,0.195288,0.145651,0.128494,0.118467,0.113220,0.111053
120,0.189406,0.153232,0.259545,0.192086,0.145351,0.129690,0.120591,0.114986,0.110376
121,0.189431,0.153050,0.255780,0.197633,0.146588,0.129516,0.118165,0.113788,0.109881
122,0.184708,0.166859,0.256740,0.205166,0.160404,0.146485,0.136970,0.132656,0.129593
123,0.192259,0.155998,0.262312,0.201797,0.148608,0.131471,0.120487,0.115245,0.112065
124,0.184269,0.156144,0.257672,0.203349,0.151343,0.131146,0.120147,0.116939,0.112413
125,0.188516,0.161422,0.285215,0.199642,0.150501,0.133288,0.124567,0.120622,0.116119
126,0.183921,0.155961,0.259740,0.200994,0.150562,0.131364,0.120981,0.116566,0.111524
127,0.189613,0.155678,0.268102,0.198138,0.148742,0.129139,0.119253,0.114874,0.111501
128,0.188709,0.152877,0.267615,0.195491,0.144075,0.126329,0.116478,0.111809,0.108343
129,0.187524,0.156856,0.269989,0.197736,0.150088,0.131414,0.120786,0.115952,0.112028
130,0.189650,0.161511,0.283439,0.206087,0.152478,0.133437,0.122704,0.117780,0.114649
131,0.186732,0.182815,0.258496,0.213116,0.184323,0.166506,0.157867,0.151983,0.147417
132,0.182943,0.158350,0.282099,0.200700,0.150169,0.130791,0.119729,0.114261,0.110699
133,0.186551,0.161956,0.286143,0.205712,0.154800,0.133803,0.121734,0.116929,0.114573
134,0.187155,0.156402,0.275353,0.197973,0.147757,0.128808,0.118138,0.114622,0.112164
135,0.187626,0.161184,0.276143,0.203917,0.154315,0.135036,0.125158,0.118554,0.115163
136,0.184520,0.162274,0.285531,0.205378,0.153900,0.134348,0.124229,0.117906,0.114626
137,0.180593,0.169886,0.282443,0.210080,0.162022,0.143876,0.133507,0.129752,0.127525
138,0.189485,0.153895,0.267002,0.192754,0.143785,0.129199,0.119256,0.114197,0.111074
139,0.184287,0.154152,0.275541,0.193400,0.146526,0.127242,0.116603,0.111417,0.108333
140,0.186506,0.151924,0.270385,0.192860,0.142789,0.125301,0.114987,0.110381,0.106763
141,0.187309,0.173305,0.268787,0.208018,0.166539,0.153433,0.143363,0.138522,0.134476
142,0.180694,0.161747,0.291525,0.204202,0.153283,0.133074,0.121812,0.116551,0.111784
143,0.183444,0.171551,0.264069,0.202306,0.165790,0.152310,0.143432,0.138425,0.134523
144,0.183168,0.168083,0.262636,0.203459,0.160584,0.146995,0.138542,0.133647,0.130715
145,0.182219,0.159502,0.265812,0.199028,0.151936,0.135360,0.125524,0.121732,0.117123
146,0.185302,0.156206,0.272544,0.197460,0.147865,0.129499,0.119516,0.115705,0.110851
147,0.182511,0.165807,0.260946,0.203423,0.159762,0.145575,0.134995,0.130207,0.125742
148,0.182927,0.160418,0.266785,0.197224,0.152530,0.137232,0.127254,0.123615,0.118287
149,0.185409,0.163977,0.277468,0.204895,0.153292,0.138125,0.127950,0.124630,0.121482
150,0.180743,0.156149,0.266619,0.201222,0.150690,0.130423,0.119667,0.115207,0.109216
151,0.181933,0.154481,0.266315,0.195995,0.147222,0.129485,0.119022,0.114587,0.108738
152,0.189125,0.154904,0.267804,0.198527,0.148693,0.129777,0.118353,0.113258,0.107918
153,0.185879,0.160023,0.286458,0.204823,0.151983,0.131400,0.120050,0.114682,0.110763
154,0.179915,0.156425,0.274919,0.196807,0.147152,0.130339,0.120537,0.114604,0.110618
155,0.186944,0.155929,0.264303,0.193840,0.147805,0.131904,0.122777,0.117785,0.113091
156,0.183127,0.154102,0.267152,0.192326,0.146823,0.128202,0.118911,0.115133,0.110166
157,0.180110,0.154969,0.275347,0.198658,0.146414,0.126950,0.116744,0.112634,0.108036
158,0.180119,0.157797,0.273452,0.198724,0.149556,0.131441,0.122166,0.116707,0.112536
159,0.182062,0.155023,0.267090,0.196417,0.148890,0.129639,0.119278,0.114441,0.109406
160,0.183015,0.153702,0.268578,0.196484,0.144004,0.126733,0.116794,0.113477,0.109844
161,0.181596,0.158008,0.275440,0.201225,0.150584,0.131969,0.120568,0.115475,0.110795
162,0.179773,0.159315,0.267138,0.200994,0.151933,0.135084,0.125564,0.119641,0.114851
163,0.184744,0.157879,0.279007,0.198274,0.149122,0.130676,0.120704,0.115528,0.111842
164,0.179972,0.157918,0.272616,0.195997,0.149466,0.131671,0.122371,0.118544,0.114761
165,0.176188,0.157792,0.275914,0.200542,0.150111,0.131320,0.121253,0.115338,0.110068
166,0.183874,0.156779,0.270481,0.202095,0.148731,0.129655,0.119562,0.115593,0.111338
167,0.177971,0.159576,0.264368,0.203061,0.152522,0.134688,0.124987,0.121210,0.116193
168,0.181442,0.155907,0.270899,0.196617,0.148072,0.130415,0.120236,0.114883,0.110227
169,0.182909,0.193968,0.274661,0.222647,0.187488,0.176984,0.169236,0.165482,0.161275
